name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Head O State,No,Yes,3.8/5,198,Indiranagar,"Casual Dining, Bar","Continental, Chinese, North Indian","1,000",Dine-out,Indiranagar
Bhavani Sri,Yes,No,3.0/5,110,Indiranagar,Casual Dining,"Andhra, Biryani, Seafood",700,Dine-out,Indiranagar
Dakshin Biryani & Tiffin,Yes,No,3.4/5,334,Indiranagar,Casual Dining,"Andhra, South Indian, North Indian",550,Dine-out,Indiranagar
Fog City Cafe,Yes,No,NEW,0,Indiranagar,Cafe,Fast Food,500,Dine-out,Indiranagar
One Night In Bangkok,No,No,NEW,0,Indiranagar,Casual Dining,"Asian, Thai","1,400",Dine-out,Indiranagar
Glen's Bakehouse,Yes,No,4.2/5,5299,Indiranagar,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",600,Dine-out,Indiranagar
Mavalli Tiffin Room (MTR),No,No,4.3/5,1878,Indiranagar,Quick Bites,South Indian,300,Dine-out,Indiranagar
McDonald's,Yes,No,3.9/5,388,Indiranagar,Quick Bites,"Burger, Fast Food",500,Dine-out,Indiranagar
Sendhoor Coffee,No,No,3.9/5,49,Indiranagar,Quick Bites,"Coffee, Street Food",150,Dine-out,Indiranagar
KFC,Yes,No,3.1/5,668,Indiranagar,Quick Bites,"Burger, Fast Food",450,Dine-out,Indiranagar
Cita Pani,Yes,Yes,3.9/5,53,Indiranagar,Quick Bites,"Biryani, North Indian, Arabian",350,Dine-out,Indiranagar
Sri Udupi Park,Yes,No,4.2/5,770,Indiranagar,Quick Bites,"South Indian, North Indian, Chinese, Beverages",300,Dine-out,Indiranagar
Gobble Up Churros Cafe,Yes,No,4.3/5,374,Indiranagar,Dessert Parlor,"Street Food, Continental, Mexican, Beverages, Cafe, Desserts, Spanish",400,Dine-out,Indiranagar
Taco Bell,Yes,No,4.2/5,387,Indiranagar,Quick Bites,"Mexican, American, Fast Food",600,Dine-out,Indiranagar
Chetty's Coffee,Yes,No,3.9/5,43,Indiranagar,Quick Bites,South Indian,150,Dine-out,Indiranagar
Domino's Pizza,Yes,No,3.0/5,464,Indiranagar,Quick Bites,"Pizza, Fast Food",800,Dine-out,Indiranagar
Five Star Chicken,Yes,No,3.7/5,78,Indiranagar,Quick Bites,"Fast Food, Burger",200,Dine-out,Indiranagar
Delite Chaat House,Yes,No,4.0/5,450,Indiranagar,Quick Bites,"Street Food, Gujarati",300,Dine-out,Indiranagar
eat.fit,Yes,Yes,NEW,0,Indiranagar,Quick Bites,"Healthy Food, North Indian, Biryani",300,Dine-out,Indiranagar
Kanteen 038,Yes,No,4.0/5,50,Indiranagar,Quick Bites,"Tea, Beverages, Fast Food",200,Dine-out,Indiranagar
Burger King,Yes,No,4.0/5,1391,Indiranagar,Quick Bites,"Burger, Fast Food, Beverages",600,Dine-out,Indiranagar
Gundappa Donne Biryani,Yes,No,2.5/5,90,Indiranagar,Quick Bites,Biryani,300,Dine-out,Indiranagar
Namdhari's Salad Bar,No,No,3.9/5,82,Indiranagar,Quick Bites,"Juices, Fast Food, Desserts, Salad",300,Dine-out,Indiranagar
Kitchen of Joy,Yes,No,4.1/5,566,Indiranagar,Quick Bites,"Fast Food, Bengali, Rolls",400,Dine-out,Indiranagar
Leon Grill,Yes,No,4.2/5,315,Indiranagar,Quick Bites,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500,Dine-out,Indiranagar
Biggies Burger 'n' More,Yes,No,4.3/5,183,Indiranagar,Quick Bites,"Cafe, Burger, Beverages",650,Dine-out,Indiranagar
Misal Darbar,Yes,No,3.0/5,21,Indiranagar,Quick Bites,Maharashtrian,200,Dine-out,Indiranagar
Yomama!!,Yes,Yes,4.0/5,340,Indiranagar,Quick Bites,"Continental, Burger, Cafe, Steak",800,Dine-out,Indiranagar
Dal Roti Sabji,Yes,No,4.1/5,81,Indiranagar,Quick Bites,North Indian,150,Dine-out,Indiranagar
Just Eat,Yes,No,NEW,0,Indiranagar,Quick Bites,"North Indian, Chinese, Beverages",500,Dine-out,Indiranagar
Cafe Srinidhi,No,No,3.4/5,90,Indiranagar,Quick Bites,"South Indian, North Indian, Fast Food, Street Food",200,Dine-out,Indiranagar
Khan Saheb Grills and Rolls,Yes,No,4.0/5,1072,Indiranagar,Quick Bites,"Fast Food, Rolls",350,Dine-out,Indiranagar
Achayyan's,Yes,No,3.8/5,405,Indiranagar,Quick Bites,"Kerala, South Indian",350,Dine-out,Indiranagar
Snack House,Yes,No,3.8/5,22,Indiranagar,Quick Bites,"Fast Food, Momos",200,Dine-out,Indiranagar
Cheesy Juicy Burgers,Yes,No,3.9/5,82,Indiranagar,Quick Bites,"Burger, Sandwich, Beverages",500,Dine-out,Indiranagar
Eat Well,Yes,No,3.5/5,32,Indiranagar,Quick Bites,"North Indian, Chinese",400,Dine-out,Indiranagar
The Chennai Express,No,No,3.8/5,166,Indiranagar,Quick Bites,"South Indian, Chinese",200,Dine-out,Indiranagar
Peace Restaurant,Yes,No,2.6/5,124,Indiranagar,Quick Bites,"Chinese, Tibetan",500,Dine-out,Indiranagar
Paratha Plaza,Yes,No,3.7/5,155,Indiranagar,Quick Bites,North Indian,200,Dine-out,Indiranagar
Kasol Cafe,No,No,NEW,0,Indiranagar,Quick Bites,"Bengali, Continental",400,Dine-out,Indiranagar
Shake It Off,Yes,No,4.2/5,159,Indiranagar,Quick Bites,"Beverages, Fast Food",600,Dine-out,Indiranagar
Srinidhi Sagar Food Line,Yes,No,3.7/5,129,Indiranagar,Quick Bites,"South Indian, North Indian, Chinese",40,Dine-out,Indiranagar
Pizza Joint Food Junction,Yes,No,3.1/5,8,Indiranagar,Quick Bites,"Fast Food, Pizza",350,Dine-out,Indiranagar
Donne Biriyani Mane,Yes,No,3.8/5,140,Indiranagar,Quick Bites,"Biryani, Kebab",400,Dine-out,Indiranagar
Lakeview Milkbar,No,No,2.9/5,539,Indiranagar,"Dessert Parlor, Cafe","Desserts, Cafe, Bakery",500,Dine-out,Indiranagar
Shreedevi,No,No,3.7/5,130,Indiranagar,Quick Bites,"North Indian, Andhra, Chinese",600,Dine-out,Indiranagar
Kylie's,No,No,4.2/5,261,Indiranagar,Quick Bites,"Asian, Chinese",500,Dine-out,Indiranagar
Big Mummy,Yes,No,3.9/5,214,Indiranagar,Quick Bites,"Fast Food, Biryani",400,Dine-out,Indiranagar
Happenwell Cafe Lounge,No,No,NEW,0,Indiranagar,Quick Bites,"North Indian, Chinese, Continental, Seafood",300,Dine-out,Indiranagar
Madurai Idly Shop,No,No,3.7/5,722,Indiranagar,Quick Bites,South Indian,200,Dine-out,Indiranagar
Anju's Cafe,No,No,3.4/5,5,Indiranagar,Quick Bites,"Fast Food, North Indian, Continental",400,Dine-out,Indiranagar
Gowdru Hotel,Yes,No,3.9/5,199,Indiranagar,Quick Bites,"South Indian, Biryani",400,Dine-out,Indiranagar
Shivaji Military Hotel,No,No,3.2/5,4,Indiranagar,Quick Bites,"South Indian, Biryani",150,Dine-out,Indiranagar
Halli Mane Rotti,No,No,3.4/5,8,Indiranagar,Quick Bites,South Indian,150,Dine-out,Indiranagar
Ammi's Biryani,No,No,2.7/5,231,Indiranagar,Quick Bites,"Biryani, North Indian",350,Dine-out,Indiranagar
California Burrito,No,No,4.2/5,253,Indiranagar,Quick Bites,"Mexican, Fast Food",400,Dine-out,Indiranagar
Ambur Biriyani,No,No,3.5/5,41,Indiranagar,Quick Bites,Biryani,250,Dine-out,Indiranagar
Rotti Mane,Yes,No,3.6/5,20,Indiranagar,Quick Bites,South Indian,200,Dine-out,Indiranagar
Annabell,Yes,No,4.0/5,264,Indiranagar,"Quick Bites, Beverage Shop","Continental, Beverages",700,Dine-out,Indiranagar
Wow Vada Pav,Yes,No,3.6/5,27,Indiranagar,Quick Bites,"Street Food, American",250,Dine-out,Indiranagar
The French Loaf,Yes,No,3.5/5,138,Indiranagar,"Bakery, Quick Bites","Bakery, Desserts, Sandwich",400,Dine-out,Indiranagar
Kumbakonam Degree Coffee,Yes,No,3.8/5,66,Indiranagar,Quick Bites,"South Indian, Fast Food",200,Dine-out,Indiranagar
Sethji Home Made Food,Yes,No,3.6/5,228,Indiranagar,Quick Bites,North Indian,350,Dine-out,Indiranagar
Pathaan Sir,Yes,No,3.4/5,155,Indiranagar,Quick Bites,"Fast Food, Rolls, Momos",250,Dine-out,Indiranagar
Curries And Pickles,Yes,No,3.8/5,77,Indiranagar,Quick Bites,"Andhra, North Indian, Biryani",250,Dine-out,Indiranagar
Chakum Chukum Calcutta On A Roll,Yes,No,3.4/5,89,Indiranagar,Quick Bites,"Fast Food, Rolls",400,Dine-out,Indiranagar
Aadhya's Fresh and Rich,No,No,,0,Indiranagar,Quick Bites,"Sandwich, Fast Food, Beverages",250,Dine-out,Indiranagar
Subway,Yes,No,2.4/5,258,Indiranagar,Quick Bites,"Salad, Fast Food",600,Dine-out,Indiranagar
Saka Eatery Outlet,Yes,No,3.7/5,41,Indiranagar,Quick Bites,Street Food,150,Dine-out,Indiranagar
Ambur Dum Biriyani,No,No,3.1/5,10,Indiranagar,Quick Bites,Biryani,200,Dine-out,Indiranagar
Chai & Kadi,No,No,3.8/5,30,Indiranagar,Quick Bites,South Indian,200,Dine-out,Indiranagar
Fullyfilled,Yes,No,4.0/5,48,Indiranagar,Quick Bites,"Sandwich, Fast Food, Momos",200,Dine-out,Indiranagar
Chaithanya Veg,No,No,3.7/5,38,Indiranagar,Quick Bites,"South Indian, North Indian, Chinese",200,Dine-out,Indiranagar
Lazer Castle,No,No,3.0/5,28,Indiranagar,Quick Bites,Fast Food,300,Dine-out,Indiranagar
Popat,Yes,No,3.2/5,43,Indiranagar,Quick Bites,North Indian,300,Dine-out,Indiranagar
Om Sai Skanda Dosa Camp,No,No,3.9/5,29,Indiranagar,Quick Bites,South Indian,150,Dine-out,Indiranagar
Sree Vinayaka Puttukada,No,No,NEW,0,Indiranagar,Quick Bites,"Kerala, South Indian",250,Dine-out,Indiranagar
Vani Hindu Military Hotel,No,No,3.3/5,4,Indiranagar,Quick Bites,South Indian,250,Dine-out,Indiranagar
Chaithanya Xpress,No,No,3.6/5,12,Indiranagar,Quick Bites,"South Indian, North Indian",300,Dine-out,Indiranagar
Punjabi Khazana,No,No,3.5/5,40,Indiranagar,Quick Bites,North Indian,400,Dine-out,Indiranagar
Rolls On Wheels,No,No,3.2/5,122,Indiranagar,Quick Bites,"Fast Food, Rolls, Momos",200,Dine-out,Indiranagar
Goli Vada Pav No. 1,No,No,3.6/5,39,Indiranagar,Quick Bites,Street Food,200,Dine-out,Indiranagar
Himalyan Inn Tibet Kitchen,No,No,3.7/5,42,Indiranagar,Quick Bites,"Chinese, Momos",400,Dine-out,Indiranagar
Chitu's Kitchen,No,No,3.5/5,10,Indiranagar,Quick Bites,"North Indian, Chinese",450,Dine-out,Indiranagar
Dal Chawal Roti,Yes,No,3.3/5,10,Indiranagar,Quick Bites,"North Indian, Chinese",350,Dine-out,Indiranagar
Breadworks,Yes,No,2.9/5,48,Indiranagar,"Bakery, Cafe","Bakery, Cafe",500,Dine-out,Indiranagar
Dine @ 9 Paratha Corner,Yes,No,3.6/5,33,Indiranagar,Quick Bites,"North Indian, Chinese",300,Dine-out,Indiranagar
Tayabbs,Yes,No,4.0/5,736,Indiranagar,Quick Bites,"Rolls, North Indian, Fast Food",500,Dine-out,Indiranagar
Smoodys,No,No,3.0/5,14,Indiranagar,Quick Bites,"Fast Food, Juices",350,Dine-out,Indiranagar
Ice Cubes,No,No,3.0/5,16,Indiranagar,Quick Bites,"Fast Food, Desserts, Beverages",300,Dine-out,Indiranagar
BR Military Hotel,No,No,3.1/5,6,Indiranagar,Quick Bites,South Indian,300,Dine-out,Indiranagar
Five Star Cafe,No,No,3.8/5,29,Indiranagar,Quick Bites,Fast Food,350,Dine-out,Indiranagar
King Burger Cafeteria,No,No,3.1/5,11,Indiranagar,Quick Bites,"Fast Food, Juices",250,Dine-out,Indiranagar
Unique Brew Cafe Resto,No,No,,0,Indiranagar,Quick Bites,Biryani,150,Dine-out,Indiranagar
Bangalore Hotel,No,No,,0,Indiranagar,Quick Bites,"Biryani, Kebab",200,Dine-out,Indiranagar
Bismillah Ambur Biryani,No,No,3.1/5,8,Indiranagar,Quick Bites,Biryani,150,Dine-out,Indiranagar
Reddy's Hotel,No,No,,0,Indiranagar,Quick Bites,Andhra,150,Dine-out,Indiranagar
Malabar Cafe,No,No,,0,Indiranagar,Quick Bites,"Kerala, South Indian",350,Dine-out,Indiranagar
Kolkatta Famous Chat,Yes,No,3.7/5,22,Indiranagar,Quick Bites,"Street Food, North Indian",100,Dine-out,Indiranagar
Manju's Kitchen,Yes,No,3.3/5,13,Indiranagar,Quick Bites,Biryani,200,Dine-out,Indiranagar
Kolkata Rolls & Hot Dum Biriyani On Dial,Yes,No,3.5/5,22,Indiranagar,Quick Bites,"Fast Food, Rolls",400,Dine-out,Indiranagar
Suvaai Restaurant,Yes,No,3.3/5,11,Indiranagar,Quick Bites,South Indian,100,Dine-out,Indiranagar
Sai Donne Biryani,Yes,No,3.4/5,9,Indiranagar,Quick Bites,"South Indian, Biryani, Chinese",350,Dine-out,Indiranagar
Ideal Kitchen,Yes,No,3.5/5,26,Indiranagar,Quick Bites,"North Indian, Chinese, South Indian, Seafood",250,Dine-out,Indiranagar
Sri Lakshmi Darshini Canteen,No,No,,0,Indiranagar,Quick Bites,South Indian,250,Dine-out,Indiranagar
Biryani Bazar,No,No,3.3/5,4,Indiranagar,Quick Bites,Biryani,250,Dine-out,Indiranagar
New Roll Centre,No,No,3.3/5,7,Indiranagar,Quick Bites,"Fast Food, Rolls",150,Dine-out,Indiranagar
Shahi Biryani,No,No,,0,Indiranagar,Quick Bites,"Biryani, Kebab",200,Dine-out,Indiranagar
Tasty Momos,No,No,,0,Indiranagar,Quick Bites,Chinese,200,Dine-out,Indiranagar
Brindhavanam Refreshment,No,No,,0,Indiranagar,Quick Bites,South Indian,200,Dine-out,Indiranagar
SSD Kitchen,No,No,,0,Indiranagar,Quick Bites,Biryani,150,Dine-out,Indiranagar
Sri Sai Ganesh Andhra Mess,No,No,,0,Indiranagar,Quick Bites,Andhra,300,Dine-out,Indiranagar
Best Biryani,No,No,,0,Indiranagar,Quick Bites,"Biryani, North Indian",300,Dine-out,Indiranagar
Mini Wok,No,No,NEW,0,Indiranagar,Quick Bites,"Chinese, Fast Food",200,Dine-out,Indiranagar
Homely Kitchen,Yes,No,NEW,0,Indiranagar,"Takeaway, Delivery","North Indian, Chinese",300,Dine-out,Indiranagar
Sri Vasavi Super Sandwich,No,No,3.1/5,19,Indiranagar,Quick Bites,"Fast Food, Sandwich, Juices",200,Dine-out,Indiranagar
Juiceca,No,No,,0,Indiranagar,Quick Bites,"Juices, Fast Food",200,Dine-out,Indiranagar
Bismillah Ambur Biryani,No,No,,0,Indiranagar,Quick Bites,"Biryani, Hyderabadi",200,Dine-out,Indiranagar
Cool cafe,No,No,,0,Indiranagar,Quick Bites,"Beverages, Fast Food",200,Dine-out,Indiranagar
Hotel Blue Land,No,No,,0,Indiranagar,Quick Bites,South Indian,200,Dine-out,Indiranagar
New Ambur Hot Dum Biryani,No,No,,0,Indiranagar,Quick Bites,Biryani,150,Dine-out,Indiranagar
Hatti Kaapi,No,No,NEW,0,Indiranagar,Quick Bites,"South Indian, Beverages",200,Dine-out,Indiranagar
Bat Chef,Yes,No,2.6/5,26,Indiranagar,Quick Bites,Fast Food,500,Dine-out,Indiranagar
Sree Ganesh Juice Center,Yes,No,,0,Indiranagar,Quick Bites,"Beverages, Juices",100,Dine-out,Indiranagar
SOS,Yes,No,NEW,0,Indiranagar,Quick Bites,"North Indian, Biryani, Chinese",300,Dine-out,Indiranagar
Pathy's Kitchen,Yes,No,3.5/5,21,Indiranagar,Quick Bites,Andhra,500,Dine-out,Indiranagar
Chowpatty,Yes,No,3.9/5,924,Indiranagar,Quick Bites,"North Indian, Fast Food, Street Food",300,Dine-out,Indiranagar
Fresh Aahar,Yes,No,3.9/5,37,Indiranagar,Quick Bites,"Biryani, Mangalorean, Kerala",400,Dine-out,Indiranagar
Juicemaker,No,No,3.7/5,38,Indiranagar,Quick Bites,"Juices, Fast Food",250,Dine-out,Indiranagar
Donne Biriyani House,Yes,No,4.0/5,472,Indiranagar,Quick Bites,Biryani,300,Dine-out,Indiranagar
Kerala Mess,No,No,3.6/5,33,Indiranagar,Quick Bites,Kerala,300,Dine-out,Indiranagar
Punjabi Dhaba,Yes,No,2.8/5,53,Indiranagar,Quick Bites,"North Indian, Chinese",300,Dine-out,Indiranagar
Loveshack,No,Yes,4.0/5,1724,Domlur,"Lounge, Cafe","Continental, Pizza, North Indian, Goan, Burger, Cafe","1,600",Dine-out,Indiranagar
Pot Biryani,Yes,No,3.9/5,456,Domlur,Casual Dining,"North Indian, Chinese, Biryani, Seafood",600,Dine-out,Indiranagar
Murphy's Brewhouse - The Paul Bangalore,No,Yes,4.3/5,2031,Domlur,"Pub, Microbrewery","Continental, North Indian, Finger Food","1,700",Dine-out,Indiranagar
Sidewalk Cafe & Bar - The Paul Bangalore,Yes,Yes,4.2/5,217,Domlur,Casual Dining,"European, Italian, Asian","1,500",Dine-out,Indiranagar
Mani's Dum Biryani,Yes,No,4.0/5,682,Jeevan Bhima Nagar,Casual Dining,"Biryani, Kebab",750,Dine-out,Indiranagar
Plantain Leaf,Yes,No,3.9/5,521,Thippasandra,Casual Dining,"Andhra, Chinese, North Indian, Biryani",600,Dine-out,Indiranagar
Green Pepper,Yes,No,3.8/5,259,Jeevan Bhima Nagar,Casual Dining,"Seafood, South Indian, Chinese, Kerala",600,Dine-out,Indiranagar
Vembanad - The Paul,No,Yes,4.2/5,325,Domlur,Casual Dining,"Seafood, Kerala","1,800",Dine-out,Indiranagar
Beijing Bites,Yes,No,3.1/5,282,Jeevan Bhima Nagar,Casual Dining,"Chinese, Thai",850,Dine-out,Indiranagar
The Hub & The Bar - Hotel Ramada Encore,No,No,4.0/5,115,Domlur,"Casual Dining, Bar","North Indian, Continental, Chinese, European","1,700",Dine-out,Indiranagar
Coast,Yes,No,3.3/5,59,Jeevan Bhima Nagar,Casual Dining,"Seafood, Mangalorean, North Indian, Biryani",750,Dine-out,Indiranagar
Rannaghar,Yes,No,3.9/5,138,Jeevan Bhima Nagar,Casual Dining,"North Indian, Bengali, Chinese",600,Dine-out,Indiranagar
The Paramount Hotel,Yes,No,2.9/5,319,Domlur,Casual Dining,"North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages","1,000",Dine-out,Indiranagar
Mood For Food,Yes,No,4.1/5,146,Jeevan Bhima Nagar,Casual Dining,"North Indian, Biryani",800,Dine-out,Indiranagar
Talk Over Table,No,No,4.0/5,284,Jeevan Bhima Nagar,Cafe,Cafe,500,Dine-out,Indiranagar
The Biryanis,Yes,No,3.8/5,426,Jeevan Bhima Nagar,Casual Dining,"Andhra, Biryani, North Indian",500,Dine-out,Indiranagar
Delicacy,Yes,No,3.9/5,647,Jeevan Bhima Nagar,Casual Dining,"Chinese, Thai, Momos",500,Dine-out,Indiranagar
Bekal,Yes,No,4.0/5,277,Jeevan Bhima Nagar,Casual Dining,"Kerala, Mangalorean, Seafood",700,Dine-out,Indiranagar
D'Cafe,No,No,3.8/5,16,Domlur,Cafe,"Cafe, Coffee, Continental",500,Dine-out,Indiranagar
Gurukrupa Paratha House,Yes,No,3.1/5,330,Domlur,Casual Dining,"North Indian, Chinese",500,Dine-out,Indiranagar
The Velu's,No,No,3.6/5,12,Domlur,Kiosk,"Fast Food, Chinese",200,Dine-out,Indiranagar
Chef Inn Regency,No,No,3.3/5,4,Domlur,"Casual Dining, Bar","North Indian, Chinese, Andhra, Mangalorean",800,Dine-out,Indiranagar
Knight Riders,No,No,2.4/5,25,Domlur,Bar,"Chinese, European","1,000",Dine-out,Indiranagar
Red Chilliez,Yes,No,3.6/5,216,Thippasandra,Casual Dining,"North Indian, South Indian, Chinese, Seafood",550,Dine-out,Indiranagar
Jaishree Pavilion,No,No,3.7/5,34,Thippasandra,Casual Dining,"North Indian, South Indian, Chinese",700,Dine-out,Indiranagar
Sree Spicy Hub,Yes,No,3.9/5,224,Jeevan Bhima Nagar,Casual Dining,"Andhra, Biryani, South Indian",600,Dine-out,Indiranagar
Chaai Resto,Yes,No,NEW,0,Jeevan Bhima Nagar,Cafe,"Cafe, Rolls, Fast Food",200,Dine-out,Indiranagar
Savoury Express,Yes,No,3.6/5,31,Jeevan Bhima Nagar,Casual Dining,Arabian,800,Dine-out,Indiranagar
Vinny's,Yes,No,4.1/5,360,Domlur,Casual Dining,"Burger, Desserts, Italian, Pizza, Salad",600,Dine-out,Indiranagar
Bengaluru House,No,No,3.7/5,45,Jeevan Bhima Nagar,Casual Dining,South Indian,500,Dine-out,Indiranagar
HomeDeli Kitchen,Yes,No,3.0/5,398,Jeevan Bhima Nagar,,"North Indian, Chinese, Biryani",600,Dine-out,Indiranagar
Donne Biriyani Mane,Yes,No,3.8/5,161,Jeevan Bhima Nagar,Casual Dining,"Biryani, Kebab",400,Dine-out,Indiranagar
Masala Dani - The Paul,No,No,3.7/5,56,Domlur,Casual Dining,"Mughlai, North Indian","1,800",Dine-out,Indiranagar
Andhra Mess,Yes,No,3.2/5,128,Domlur,Mess,"Andhra, Biryani, Chinese",400,Dine-out,Indiranagar
Quench Bar,No,No,4.0/5,108,Domlur,Bar,"Seafood, Mexican, Continental, Finger Food","1,300",Dine-out,Indiranagar
Malabar,Yes,No,3.0/5,159,Jeevan Bhima Nagar,Quick Bites,"Kerala, Seafood, Biryani",400,Dine-out,Indiranagar
Banana Leaf,No,No,3.5/5,12,Domlur,Casual Dining,Andhra,500,Dine-out,Indiranagar
Walnut Kitchen,No,No,3.0/5,10,Domlur,Quick Bites,"North Indian, Biryani, Chinese",500,Dine-out,Indiranagar
Bharanis,Yes,No,3.7/5,16,Domlur,Casual Dining,"Andhra, Biryani",600,Dine-out,Indiranagar
Sbarro,No,No,3.4/5,16,Domlur,Quick Bites,Pizza,500,Dine-out,Indiranagar
New Shanthi Sagar,No,No,2.8/5,118,Domlur,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts, Street Food",450,Dine-out,Indiranagar
Fazzito Kitchen,No,No,3.8/5,210,Thippasandra,Casual Dining,North Indian,700,Dine-out,Indiranagar
Night Booze,No,No,3.2/5,8,Thippasandra,"Casual Dining, Bar","North Indian, Fast Food",600,Dine-out,Indiranagar
Sandras Bar & Restaurant,No,No,3.2/5,10,Thippasandra,Casual Dining,North Indian,600,Dine-out,Indiranagar
Allahabadi Tadaka,No,No,2.9/5,46,Domlur,Casual Dining,North Indian,250,Dine-out,Indiranagar
Avanti Indian Barbeque & Grill,No,No,3.4/5,46,Domlur,Casual Dining,North Indian,"1,100",Dine-out,Indiranagar
Sri Ganesh Fruit Juice Centre,Yes,No,3.6/5,17,Thippasandra,Beverage Shop,Juices,100,Dine-out,Indiranagar
Chinese Fire Dragon,Yes,No,3.4/5,25,Domlur,Casual Dining,"Chinese, North Indian, Momos",550,Dine-out,Indiranagar
Swaadpurna,Yes,No,3.6/5,51,Jeevan Bhima Nagar,Casual Dining,"North Indian, South Indian, Chinese, Biryani",450,Dine-out,Indiranagar
Ambur Hot Dum Biriyani,No,No,3.2/5,5,Jeevan Bhima Nagar,Quick Bites,Biryani,200,Dine-out,Indiranagar
Serenitea4u,No,No,3.4/5,9,Jeevan Bhima Nagar,"Beverage Shop, Quick Bites","Beverages, Fast Food",100,Dine-out,Indiranagar
Haveli,No,No,3.6/5,22,Thippasandra,Casual Dining,"North Indian, Chinese",300,Dine-out,Indiranagar
Taste Of Nawaab's,No,No,3.6/5,22,Domlur,Casual Dining,"North Indian, Chinese",600,Dine-out,Indiranagar
Cafe Velvette,No,No,3.5/5,11,Domlur,"Cafe, Dessert Parlor","Cafe, American, Italian, Continental",400,Dine-out,Indiranagar
Hot Spot Cafe,No,No,2.9/5,17,Domlur,Cafe,"Cafe, Fast Food",150,Dine-out,Indiranagar
The Cool Zone,No,No,,0,Domlur,Beverage Shop,"Beverages, Juices",100,Dine-out,Indiranagar
Rahaman's Mess,No,No,,0,Thippasandra,Mess,"Kerala, North Indian, South Indian",200,Dine-out,Indiranagar
Aahar Cafe,No,No,,0,Thippasandra,Cafe,Cafe,300,Dine-out,Indiranagar
Nawabi Kitchen,No,No,NEW,0,Thippasandra,Casual Dining,"North Indian, Chinese",600,Dine-out,Indiranagar
9th Cross Cafe,No,No,3.6/5,12,Jeevan Bhima Nagar,Cafe,"Cafe, Italian, French",550,Dine-out,Indiranagar
Origin Espresso Bar,No,No,,0,Domlur,Cafe,Cafe,,Dine-out,Indiranagar
Sri Udupi Food Hub,No,No,NEW,0,Domlur,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Dine-out,Indiranagar
Aathurar,Yes,No,3.2/5,574,Jeevan Bhima Nagar,Casual Dining,"Chettinad, Biryani, South Indian, Seafood",600,Dine-out,Indiranagar
Kaayal,Yes,No,3.0/5,253,Jeevan Bhima Nagar,Casual Dining,"Kerala, Chinese",500,Dine-out,Indiranagar
Crunch Pizzas,Yes,No,2.8/5,91,Thippasandra,,"Italian, Pizza",600,Dine-out,Indiranagar
Chakh Le Foods,Yes,Yes,3.4/5,257,Jeevan Bhima Nagar,Casual Dining,"North Indian, Mughlai, Bengali, Chinese",500,Dine-out,Indiranagar
Kerala Vibes,No,No,3.6/5,80,Jeevan Bhima Nagar,Casual Dining,Kerala,500,Dine-out,Indiranagar
Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,Yes,No,4.4/5,580,Thippasandra,Quick Bites,"French, Sandwich, Salad",450,Dine-out,Indiranagar
Cafe Grill,Yes,No,4.1/5,496,Jeevan Bhima Nagar,Quick Bites,"Chinese, North Indian, Rolls",300,Dine-out,Indiranagar
Samosa Party,Yes,No,4.1/5,372,Jeevan Bhima Nagar,Quick Bites,"Street Food, Fast Food",150,Dine-out,Indiranagar
Chandni Chowk 2 Bangalore,Yes,No,4.2/5,241,Jeevan Bhima Nagar,Quick Bites,"North Indian, Rolls",400,Dine-out,Indiranagar
Motis Kitchen,Yes,No,4.1/5,551,Thippasandra,Quick Bites,"South Indian, Kerala, Biryani",350,Dine-out,Indiranagar
DVG Benne Dosa,Yes,No,4.0/5,25,Domlur,Quick Bites,South Indian,150,Dine-out,Indiranagar
Red Kitchen,Yes,No,3.2/5,146,Jeevan Bhima Nagar,Quick Bites,"North Indian, South Indian, Chinese",200,Dine-out,Indiranagar
Snacks Joint,Yes,No,3.8/5,185,Jeevan Bhima Nagar,Quick Bites,Fast Food,150,Dine-out,Indiranagar
Kerala Pavilion,Yes,No,3.9/5,302,Domlur,Quick Bites,"Kerala, South Indian, Seafood, Biryani",300,Dine-out,Indiranagar
Spicy Corner,Yes,No,3.9/5,187,Jeevan Bhima Nagar,Quick Bites,"Street Food, Fast Food",250,Dine-out,Indiranagar
Bharpur Aahar,Yes,No,3.9/5,418,Jeevan Bhima Nagar,Quick Bites,"North Indian, Chinese",200,Dine-out,Indiranagar
Sri Krishna Sagar,No,No,3.6/5,64,Domlur,Quick Bites,"South Indian, North Indian, Street Food, Chinese, Beverages",150,Dine-out,Indiranagar
Taza Tawa,Yes,No,3.8/5,168,Jeevan Bhima Nagar,Quick Bites,"North Indian, Chinese, Rolls, Juices",450,Dine-out,Indiranagar
Thunder Fried Chicken,Yes,No,3.6/5,179,Jeevan Bhima Nagar,Quick Bites,"North Indian, Biryani, Mughlai, Rolls",350,Dine-out,Indiranagar
